"","B1_p_val","B1_avg_log2FC","B1_pct.1","B1_pct.2","B1_p_val_adj","B2_p_val","B2_avg_log2FC","B2_pct.1","B2_pct.2","B2_p_val_adj","max_pval","minimump_p_val","cluster"
"TBX2",0,0.564382605742807,0.537,0.237,0,0,0.699352756908475,0.573,0.208,0,0,0,0
"MRC2",0,0.478438466426807,0.591,0.267,0,0,0.497889173435444,0.635,0.275,0,0,0,0
"SOX9",0,0.425959454491945,0.577,0.302,0,0,0.51073200348235,0.645,0.323,0,0,0,0
"SEPTIN9",0,0.345687939657816,0.826,0.652,0,0,0.33259567333637,0.8,0.587,0,0,0,0
"COLEC12",0,0.868089907197582,0.643,0.221,0,0,0.590368307860584,0.501,0.174,0,0,0,0
"MYL12A",0,0.37010512948869,0.935,0.834,0,0,0.466339222556179,0.935,0.772,0,0,0,0
"ARHGAP28",0,0.60139450065718,0.691,0.3,0,0,0.680834485062187,0.69,0.263,0,0,0,0
"PIEZO2",0,0.426828874007717,0.482,0.253,0,0,0.395069443579724,0.419,0.2,0,0,0,0
"TCF4",0,0.770483277904034,0.97,0.746,0,0,0.691957124974284,0.957,0.716,0,0,0,0
"CNN2",0,0.607176025258849,0.947,0.743,0,0,0.677865424884754,0.948,0.684,0,0,0,0
"RPS28",0,0.253724906942202,0.999,0.999,0,0,0.325324680981202,0.999,0.999,0,0,0,0
"KANK2",0,0.467995214376239,0.627,0.291,0,0,0.447499189168059,0.583,0.247,0,0,0,0
"CALR",0,0.460953848951457,0.978,0.919,0,0,0.457983891084774,0.978,0.893,0,0,0,0
"TPM4",0,0.624770660847167,0.991,0.909,0,0,0.6160518484281,0.988,0.882,0,0,0,0
"APOE",0,0.864131938013385,0.596,0.243,0,0,0.948072409576208,0.694,0.258,0,0,0,0
"RPL13A",0,0.252274172523197,1,1,0,0,0.273405128693909,1,1,0,0,0,0
"RPS9",0,0.390159451677525,0.999,0.999,0,0,0.424868526429876,1,0.998,0,0,0,0
"CDC42EP5",0,1.04298998145941,0.894,0.361,0,0,1.26712361345878,0.932,0.323,0,0,0,0
"RPL28",0,0.343673183561646,1,1,0,0,0.404893470994095,1,0.999,0,0,0,0
